date,NO2
2024-08-31,4.504302887653466e-05
2024-09-01,4.504302887653466e-05
2024-09-02,3.849095992336515e-05
2024-09-03,4.963791434420273e-05
2024-09-04,3.2984165045490954e-05
2024-09-05,6.0531156123033725e-05
2024-09-06,3.8785022297815885e-05
2024-09-07,3.2369403925258666e-05
2024-09-08,4.7959958465071395e-05
2024-09-09,6.355051300488412e-05
2024-09-10,7.099321919668e-05
2024-09-11,7.843592538847588e-05
2024-09-12,4.42171840404626e-05
2024-09-13,3.449785162956687e-05
2024-09-14,5.973478437226731e-05
2024-09-15,4.20744781877147e-05
2024-09-16,6.531680992338806e-05
2024-09-17,6.810105696786195e-05
2024-09-18,8.997309851110913e-05
2024-09-19,0.00011184514005435632
2024-09-20,4.999152588425204e-05
2024-09-21,3.195620411133859e-05
2024-09-22,5.11704583914252e-05
2024-09-23,6.7085723458149e-05
2024-09-24,8.300098852487281e-05
2024-09-25,7.099217327777296e-05
2024-09-26,5.898335803067312e-05
2024-09-27,5.851637979503721e-05
2024-09-28,4.542552051134408e-05
2024-09-29,3.055307297472609e-05
2024-09-30,3.632964944699779e-05
2024-10-01,1.2261426945769928e-05
2024-10-02,4.118676770303864e-05
2024-10-03,4.665275355364429e-05
2024-10-04,5.2118739404249936e-05
2024-10-05,3.424768874538131e-05
2024-10-06,2.9938373700133525e-05
2024-10-07,4.115383399039274e-05
2024-10-08,5.409211735241115e-05
2024-10-09,3.7501844417420216e-05
2024-10-10,3.0192180020094384e-05
2024-10-11,2.603441407700302e-05
2024-10-12,2.714831771299941e-05
2024-10-13,5.597511881205719e-05
2024-10-14,4.747626826429041e-05
2024-10-15,6.929447711930456e-05
2024-10-16,9.111268597431871e-05
2024-10-17,0.00011293089482933284
2024-10-18,6.886863047839142e-05
2024-10-19,6.826257595093921e-05
2024-10-20,7.56797404998603e-05
2024-10-21,8.309690504878138e-05
2024-10-22,9.051406959770247e-05
2024-10-23,7.254231240949593e-05
2024-10-24,0.0001694156089797616
2024-10-25,0.0001223534854943864
2024-10-26,7.529136200901121e-05
2024-10-27,5.406779018812813e-05
2024-10-28,9.054120891960338e-05
2024-10-29,4.848978096561041e-05
2024-10-30,2.6526742658461444e-05
2024-10-31,6.123688945081085e-05
2024-11-01,4.818024293247921e-05
2024-11-02,3.512359641414757e-05
2024-11-03,2.2066949895815924e-05
2024-11-04,3.4099308322765864e-05
2024-11-05,4.6131666749715805e-05
2024-11-06,4.406658626976423e-05
2024-11-07,6.330943142529577e-05
2024-11-08,3.44966883858433e-05
2024-11-09,6.383559593814425e-05
2024-11-10,5.874547741768765e-05
2024-11-11,5.3655358897231054e-05
2024-11-12,4.8565240376774454e-05
2024-11-13,4.3475121856317855e-05
